"","num","AAA.x","GAA.x","CAA.x","TAA.x","AGA.x","GGA.x","CGA.x","TGA.x","ACA.x","GCA.x","CCA.x","TCA.x","ATA.x","GTA.x","CTA.x","TTA.x","AAG.x","GAG.x","CAG.x","TAG.x","AGG.x","GGG.x","CGG.x","TGG.x","ACG.x","GCG.x","CCG.x","TCG.x","ATG.x","GTG.x","CTG.x","TTG.x","AAC.x","GAC.x","CAC.x","TAC.x","AGC.x","GGC.x","CGC.x","TGC.x","ACC.x","GCC.x","CCC.x","TCC.x","ATC.x","GTC.x","CTC.x","TTC.x","AAT.x","GAT.x","CAT.x","TAT.x","AGT.x","GGT.x","CGT.x","TGT.x","ACT.x","GCT.x","CCT.x","TCT.x","ATT.x","GTT.x","CTT.x","TTT.x","class.x","AAA.y","GAA.y","CAA.y","TAA.y","AGA.y","GGA.y","CGA.y","TGA.y","ACA.y","GCA.y","CCA.y","TCA.y","ATA.y","GTA.y","CTA.y","TTA.y","AAG.y","GAG.y","CAG.y","TAG.y","AGG.y","GGG.y","CGG.y","TGG.y","ACG.y","GCG.y","CCG.y","TCG.y","ATG.y","GTG.y","CTG.y","TTG.y","AAC.y","GAC.y","CAC.y","TAC.y","AGC.y","GGC.y","CGC.y","TGC.y","ACC.y","GCC.y","CCC.y","TCC.y","ATC.y","GTC.y","CTC.y","TTC.y","AAT.y","GAT.y","CAT.y","TAT.y","AGT.y","GGT.y","CGT.y","TGT.y","ACT.y","GCT.y","CCT.y","TCT.y","ATT.y","GTT.y","CTT.y","TTT.y","class.y"
"1",1,6.251175e-05,1.99938375e-05,3.3240375e-05,0,0,0,0,2.1183946875e-05,9.9721125e-05,4.2526575e-05,3.5350875e-05,0,0,2.1183946875e-05,0,0,0,0,2.12632875e-05,0,0,0,0,0,0,0,0,0,6.3551840625e-05,1.35510009375e-05,2.2528959375e-05,2.244489609375e-05,3.3240375e-05,0,3.5350875e-05,3.521896875e-05,0,0,0,6.7586878125e-05,3.5350875e-05,0,0,0,0,0,0,3.73153359375e-05,3.311634375e-05,0,0.00010565690625,0,2.1183946875e-05,0,0,4.48897921875e-05,0,2.2528959375e-05,0,3.73153359375e-05,3.50875546875e-05,2.244489609375e-05,3.73153359375e-05,0,"0",0,3.9987675e-05,0,3.311634375e-05,3.9987675e-05,3.836912625e-05,0,2.1183946875e-05,0,0,3.5350875e-05,3.521896875e-05,3.311634375e-05,0,0,0,1.99938375e-05,3.836912625e-05,2.12632875e-05,0,3.836912625e-05,8.181353375e-06,1.360175375e-05,0,0,0,0,2.2528959375e-05,2.1183946875e-05,0,2.2528959375e-05,0,0,2.12632875e-05,0,0,0,0,0,0,3.5350875e-05,0,7.519075e-05,3.745509375e-05,7.04379375e-05,2.2528959375e-05,0,0,6.62326875e-05,0,7.04379375e-05,0,0,0,0,2.244489609375e-05,0,0,3.745509375e-05,0,0,0,0,0,"0"
"2",2,0,0,3.3240375e-05,0,1.99938375e-05,0,0,0,0,6.37898625e-05,0,0,0,2.1183946875e-05,0,0,0,0,4.2526575e-05,0,1.278970875e-05,1.636270675e-05,0,2.7102001875e-05,0,2.72035075e-05,4.5226675e-05,0,2.1183946875e-05,6.77550046875e-05,0,0,0,2.12632875e-05,0,0,0,4.080526125e-05,4.5226675e-05,2.2528959375e-05,3.5350875e-05,2.26133375e-05,3.7595375e-05,0,0,0,0,0,0,0,0,3.50875546875e-05,0,0,4.505791875e-05,6.733468828125e-05,0,0,0,0,0,0,0,0,"0",0.00018753525,0,0,0.000132465375,1.99938375e-05,0,0,0,0,0,0,3.521896875e-05,3.311634375e-05,2.1183946875e-05,7.04379375e-05,7.0175109375e-05,3.9987675e-05,0,0,2.1183946875e-05,0,0,0,1.35510009375e-05,0,0,0,0,2.1183946875e-05,0,0,0,3.3240375e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.2528959375e-05,0,3.73153359375e-05,6.62326875e-05,2.1183946875e-05,3.521896875e-05,3.50875546875e-05,4.236789375e-05,0,0,0,3.521896875e-05,0,0,3.73153359375e-05,0.0001052626640625,0,0,3.7176099609375e-05,"0"
"3",3,0,0,0,6.62326875e-05,0,3.836912625e-05,0,2.1183946875e-05,0,2.12632875e-05,0,0,3.311634375e-05,2.1183946875e-05,3.521896875e-05,0,1.99938375e-05,1.278970875e-05,2.12632875e-05,0,3.836912625e-05,4.0906766875e-05,0,4.06530028125e-05,0,0,0,0,4.236789375e-05,4.06530028125e-05,0,0,0,2.12632875e-05,0,0,0,1.360175375e-05,0,0,0,0,0,0,0,0,0,0,3.311634375e-05,2.1183946875e-05,0,3.50875546875e-05,0,4.06530028125e-05,0,2.244489609375e-05,3.521896875e-05,0,0,0,0,0,0,0,"0",3.1255875e-05,5.99815125e-05,6.648075e-05,6.62326875e-05,3.9987675e-05,0,2.12632875e-05,0,3.3240375e-05,0,3.5350875e-05,3.521896875e-05,3.311634375e-05,0,3.521896875e-05,3.50875546875e-05,3.9987675e-05,0,0,0,0,0,0,0,2.12632875e-05,0,0,0,0,0,0,0,6.648075e-05,0,3.5350875e-05,3.521896875e-05,0,0,0,0,3.5350875e-05,0,0,0,3.521896875e-05,0,3.745509375e-05,7.4630671875e-05,6.62326875e-05,0,0,3.50875546875e-05,0,0,0,0,3.521896875e-05,0,0,0.0001119460078125,3.50875546875e-05,0,7.4630671875e-05,0,"0"
"4",4,6.251175e-05,5.99815125e-05,3.3240375e-05,0,9.99691875e-05,1.278970875e-05,0,4.236789375e-05,3.3240375e-05,0,3.5350875e-05,0,3.311634375e-05,0,0,0,5.99815125e-05,2.55794175e-05,0,2.1183946875e-05,1.278970875e-05,0,0,1.35510009375e-05,0,0,0,0,0,0,4.505791875e-05,2.244489609375e-05,3.3240375e-05,4.2526575e-05,0,0,0,1.360175375e-05,0,0,3.5350875e-05,0,0,0,0,0,0,0,0,0,3.521896875e-05,0,0,0,0,2.244489609375e-05,3.521896875e-05,2.2528959375e-05,0,0,0,2.244489609375e-05,0,3.7176099609375e-05,"0",0,0,3.3240375e-05,6.62326875e-05,3.9987675e-05,0,0,2.1183946875e-05,3.3240375e-05,2.12632875e-05,0,0,0,0,0,0.0001052626640625,3.9987675e-05,1.278970875e-05,0,2.1183946875e-05,0,0,0,0,0,0,0,0,0,0,4.505791875e-05,2.244489609375e-05,3.3240375e-05,2.12632875e-05,0,0,2.12632875e-05,0,0,2.2528959375e-05,0,0,0,3.745509375e-05,3.521896875e-05,2.2528959375e-05,0,0,0,2.1183946875e-05,3.521896875e-05,0,2.1183946875e-05,0,0,4.48897921875e-05,3.521896875e-05,2.2528959375e-05,3.745509375e-05,3.73153359375e-05,3.50875546875e-05,2.244489609375e-05,7.4630671875e-05,3.7176099609375e-05,"0"
"5",5,0,0,0,0,0,0,0,4.236789375e-05,0,0,0,0,0,0,3.521896875e-05,3.50875546875e-05,0,1.278970875e-05,0,2.1183946875e-05,0,0,0,1.35510009375e-05,0,0,0,0,2.1183946875e-05,1.35510009375e-05,2.2528959375e-05,2.244489609375e-05,0,2.12632875e-05,0,0,2.12632875e-05,0,0,0,0,0,7.519075e-05,7.49101875e-05,0,2.2528959375e-05,0,0.0001119460078125,0,0,0,3.50875546875e-05,0,1.35510009375e-05,0,2.244489609375e-05,3.521896875e-05,2.2528959375e-05,7.49101875e-05,7.4630671875e-05,0,0,0.00014926134375,0.000185880498046875,"0",3.1255875e-05,0,3.3240375e-05,3.311634375e-05,0,0,0,4.236789375e-05,3.3240375e-05,0,3.5350875e-05,3.521896875e-05,0,0,0,3.50875546875e-05,0,2.55794175e-05,2.12632875e-05,0,1.278970875e-05,8.181353375e-06,0,0,0,0,0,0,0,1.35510009375e-05,4.505791875e-05,0,6.648075e-05,0,0,0,0,0,0,0,3.5350875e-05,0,0,3.745509375e-05,0,4.505791875e-05,0,3.73153359375e-05,0,0,3.521896875e-05,0,4.236789375e-05,1.35510009375e-05,0,2.244489609375e-05,0,0,3.745509375e-05,3.73153359375e-05,3.50875546875e-05,2.244489609375e-05,3.73153359375e-05,0.000185880498046875,"0"
"6",6,9.3767625e-05,1.99938375e-05,0,9.934903125e-05,0,0,0,2.1183946875e-05,0,0,0,0,0,0,3.521896875e-05,0.00014035021875,0,0,0,0,0,8.181353375e-06,1.360175375e-05,0,0,0,2.26133375e-05,0,2.1183946875e-05,1.35510009375e-05,0,2.244489609375e-05,9.9721125e-05,0,0,7.04379375e-05,0,0,0,0,3.5350875e-05,0,0,0,0,0,0,0,3.311634375e-05,0,0,0,0,1.35510009375e-05,0,4.48897921875e-05,0.00010565690625,0,0,0,0,6.733468828125e-05,7.4630671875e-05,7.435219921875e-05,"0",6.251175e-05,1.99938375e-05,6.648075e-05,3.311634375e-05,0,1.278970875e-05,0,2.1183946875e-05,0,4.2526575e-05,3.5350875e-05,3.521896875e-05,6.62326875e-05,0,7.04379375e-05,0,0,0,2.12632875e-05,0,1.278970875e-05,0,0,1.35510009375e-05,0,0,0,0,2.1183946875e-05,0,0,4.48897921875e-05,3.3240375e-05,0,0,3.521896875e-05,0,1.360175375e-05,0,2.2528959375e-05,0,0,0,3.745509375e-05,3.521896875e-05,0,0,0,9.934903125e-05,2.1183946875e-05,3.521896875e-05,3.50875546875e-05,0,0,0,0,7.04379375e-05,0,0,0,7.0175109375e-05,0,0,3.7176099609375e-05,"0"
"7",7,0,0,0,0,0,3.836912625e-05,0,0,6.648075e-05,2.12632875e-05,0,0,0,0,3.521896875e-05,0,0,1.278970875e-05,0,0,0,8.181353375e-06,4.080526125e-05,2.7102001875e-05,2.12632875e-05,1.360175375e-05,4.5226675e-05,0,0,0,4.505791875e-05,0,0,4.2526575e-05,0.000106052625,3.521896875e-05,2.12632875e-05,2.72035075e-05,2.26133375e-05,0,3.5350875e-05,2.26133375e-05,7.519075e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04379375e-05,2.2528959375e-05,3.745509375e-05,0,0,0,3.73153359375e-05,0,"0",0,0,0,0,3.9987675e-05,1.278970875e-05,0,4.236789375e-05,6.648075e-05,0,0,3.521896875e-05,0,4.236789375e-05,0,0,0,2.55794175e-05,0,6.3551840625e-05,0,0,1.360175375e-05,1.35510009375e-05,2.12632875e-05,1.360175375e-05,0,0,4.236789375e-05,0,0,4.48897921875e-05,0,6.37898625e-05,3.5350875e-05,0,2.12632875e-05,0,0,0,0,0,0,0,0,2.2528959375e-05,0,0,0,0,7.04379375e-05,0,4.236789375e-05,1.35510009375e-05,2.2528959375e-05,0,3.521896875e-05,0,0,0,0,2.244489609375e-05,3.73153359375e-05,3.7176099609375e-05,"0"
"8",8,6.251175e-05,3.9987675e-05,0,0,1.99938375e-05,1.278970875e-05,0,4.236789375e-05,6.648075e-05,4.2526575e-05,0,0,0,2.1183946875e-05,3.521896875e-05,0,0,1.278970875e-05,6.37898625e-05,0,1.278970875e-05,8.181353375e-06,0,1.35510009375e-05,0,0,0,0,4.236789375e-05,1.35510009375e-05,0,0,0,2.12632875e-05,0,7.04379375e-05,2.12632875e-05,1.360175375e-05,0,0,0,0,0,0,0,0,0,3.73153359375e-05,6.62326875e-05,0,3.521896875e-05,0,4.236789375e-05,0,0,0,3.521896875e-05,0,0,3.73153359375e-05,3.50875546875e-05,0,3.73153359375e-05,0,"0",0,0,0,0,0,2.55794175e-05,0,0,3.3240375e-05,0,3.5350875e-05,3.521896875e-05,0,2.1183946875e-05,3.521896875e-05,3.50875546875e-05,0,1.278970875e-05,2.12632875e-05,2.1183946875e-05,1.278970875e-05,1.636270675e-05,1.360175375e-05,1.35510009375e-05,0,0,2.26133375e-05,0,2.1183946875e-05,0,4.505791875e-05,0,0,2.12632875e-05,3.5350875e-05,3.521896875e-05,2.12632875e-05,1.360175375e-05,0,2.2528959375e-05,7.070175e-05,2.26133375e-05,3.7595375e-05,0,0,2.2528959375e-05,0,0,0,2.1183946875e-05,3.521896875e-05,0,2.1183946875e-05,0,0,2.244489609375e-05,0,4.505791875e-05,3.745509375e-05,0,3.50875546875e-05,0,0,0,"0"
"9",9,0.000156279375,1.99938375e-05,6.648075e-05,6.62326875e-05,0,0,0,4.236789375e-05,3.3240375e-05,0,0,3.521896875e-05,0,2.1183946875e-05,0,7.0175109375e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.1183946875e-05,0,0,4.48897921875e-05,3.3240375e-05,0,0,0,0,0,0,0,0,0,0,0,7.04379375e-05,0,0,0,0.000132465375,0,0,3.50875546875e-05,0,0,0,2.244489609375e-05,0,0,0,3.73153359375e-05,7.0175109375e-05,0,3.73153359375e-05,0.00022305659765625,"0",0.000343814625,1.99938375e-05,3.3240375e-05,6.62326875e-05,0,1.278970875e-05,0,0,6.648075e-05,0,0,0,3.311634375e-05,4.236789375e-05,0,3.50875546875e-05,0,0,2.12632875e-05,0,0,1.636270675e-05,0,1.35510009375e-05,0,0,0,0,4.236789375e-05,0,2.2528959375e-05,0,3.3240375e-05,0,0,3.521896875e-05,0,0,0,0,0,0,0,0,3.521896875e-05,0,0,0,9.934903125e-05,0,0,3.50875546875e-05,2.1183946875e-05,0,0,2.244489609375e-05,0,0,0,3.73153359375e-05,0,0,0,0,"0"
"10",10,3.1255875e-05,5.99815125e-05,0,3.311634375e-05,7.997535e-05,1.278970875e-05,0,0,0,0,0,3.521896875e-05,3.311634375e-05,0,7.04379375e-05,3.50875546875e-05,3.9987675e-05,1.278970875e-05,2.12632875e-05,2.1183946875e-05,0,0,0,1.35510009375e-05,0,0,0,0,0,1.35510009375e-05,2.2528959375e-05,0,3.3240375e-05,2.12632875e-05,0,3.521896875e-05,0,0,0,0,3.5350875e-05,0,0,0,0,2.2528959375e-05,0,3.73153359375e-05,3.311634375e-05,0,0,3.50875546875e-05,2.1183946875e-05,0,0,2.244489609375e-05,7.04379375e-05,0,3.745509375e-05,3.73153359375e-05,3.50875546875e-05,0,3.73153359375e-05,0,"0",0.000156279375,1.99938375e-05,3.3240375e-05,6.62326875e-05,1.99938375e-05,0,0,2.1183946875e-05,3.3240375e-05,2.12632875e-05,0,3.521896875e-05,3.311634375e-05,0,3.521896875e-05,3.50875546875e-05,3.9987675e-05,0,2.12632875e-05,0,1.278970875e-05,8.181353375e-06,0,0,0,0,0,0,0,1.35510009375e-05,0,0,3.3240375e-05,0,0,0,2.12632875e-05,0,0,0,0,0,0,0,3.521896875e-05,0,0,3.73153359375e-05,3.311634375e-05,2.1183946875e-05,0,3.50875546875e-05,0,1.35510009375e-05,0,0,0,0,0,3.73153359375e-05,7.0175109375e-05,0,0,0.000185880498046875,"0"
